Age,Income,Credit_Score,Loan_Amount,Approved
52,76439.1,532.79,19180.26,0
63,106127.45,390.27,48337.59,0
65,37587.24,804.44,11670.11,1
33,30254.44,360.43,30332.69,0
21,33961.03,826.17,19621.95,1
30,22328.47,722.81,48345.12,0
37,108073.25,787.11,44564.74,1
55,42351.34,514.98,17140.78,0
29,108405.47,466.22,18541.58,0
28,82430.68,459.58,38098.85,0
25,34038.27,603.59,2227.67,1
43,101875.15,631.68,27894.66,1
26,80434.99,512.5,21199.45,0
65,80376.12,397.91,11465.69,0
64,87154.54,671.02,47059.26,1
32,71530.02,476.89,22779.34,0
51,70845.88,575.77,47601.41,0
28,87540.84,712.24,35594.02,1
49,119917.78,388.62,38580.87,0
55,51054.96,529.59,6420.8,0
31,88208.04,773.52,44509.85,1
58,44761.61,605.04,1542.64,1
63,87794.32,845.59,23676.42,1
55,61336.73,544.41,21158.39,0
58,37867.72,313.17,46601.54,0
26,105571.98,538.85,10453.8,0
49,98691.07,549.37,17148.03,0
60,100646.58,636.83,47434.97,1
59,70422.81,338.9,18550.83,0
51,20894.94,655.03,45573.3,0
23,45741.1,396.26,11432.9,0
48,95134.35,444.84,3251.22,0
47,44664.57,536.17,46807.02,0
29,114713.05,526.56,35732.55,0
47,47931.44,743.87,19089.56,1
25,39891.63,835.65,47216.13,1
31,22272.61,762.93,38166.66,0
57,38610.64,582.36,23227.53,0
25,45575.94,712.96,2041.78,1
47,98217.64,331.65,43042.66,0
24,26163.55,754.14,47828.68,0
24,59744.74,318.86,41623.01,0
24,63831.17,387.35,26122.1,0
64,99294.63,603.85,2618.96,1
37,55340.24,783.0,28002.82,1
28,82982.95,399.12,47821.34,0
65,99152.17,730.89,13767.72,1
32,97702.77,512.44,42723.6,0
52,108275.54,562.59,17181.06,0
34,24962.87,763.31,12157.82,0
47,119440.61,511.77,41276.02,0
40,74113.94,640.29,45527.53,1
61,69495.02,785.8,47566.24,1
42,21851.87,787.81,17319.46,0
18,53916.81,390.77,47746.96,0
